it,ddqdqq,ddqdqq-rstrt,ddqddq,ddqddq-rstrt,ddqddd,ddqddd-rstrt,ddqsdd,ddqsdd-rstrt,ddqssd,ddqssd-rstrt,ddqsss,ddqsss-rstrt
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8788026200530431,,0.8788026200530349,,0.878802620053035,,0.8788026535563602,,0.8787892025700602,,0.8788072185174872,
2,0.2934709127711907,,0.2934709127711916,,0.2934709127711903,,0.29347091339859116,,0.2934736218806574,,0.2934821606890733,
3,0.12568039964620883,,0.1256803996462048,,0.1256803996461901,,0.1256804132071965,,0.12567718492304394,,0.1256613427748291,
4,0.08181924119944399,,0.08181924119944246,,0.08181924119943433,,0.08181923658081741,,0.08181833052043325,,0.08178856980172364,
5,0.07989297854049138,,0.07989297854049053,,0.0798929785404832,,0.07989297228978978,,0.07989222712718375,,0.0798578138526065,
6,0.07578962899102386,,0.07578962899102308,,0.07578962899101599,,0.07578961444199682,,0.07578926712797329,,0.07575465836785539,
7,0.06933729181204883,,0.06933729181204915,,0.06933729181204375,,0.06933724134162818,,0.06933717302553175,,0.06930605172745916,
8,0.06308921921392624,,0.0630892192139267,,0.06308921921390769,,0.0630891552558618,,0.06308932221596855,,0.06305807189743913,
9,0.0568393669691819,,0.05683936696918204,,0.056839366969160636,,0.05683927848200572,,0.05683989579294767,,0.056806948659925346,
10,0.04853665595870041,,0.04853665595870033,,0.048536655958680106,,0.048536538115058425,,0.04853686248763921,,0.04849839484294874,
11,0.04506222234394688,,0.04506222234394661,,0.045062222343922764,,0.045062075398094016,,0.04506250579296518,,0.04501804847130898,
12,0.037500297532376776,,0.037500297532377255,,0.037500297532354926,,0.0375001247087868,,0.037500863129730576,,0.03745061552636012,
13,0.029625214522484018,,0.029625214522484365,,0.02962521452246385,,0.02962506165053396,,0.02962582782199181,,0.02958156012131005,
14,0.02219475557250306,,0.022194755572503312,,0.02219475557247594,,0.022194611196741123,,0.022195035360251327,,0.022152517255158446,
15,0.015786346986830374,,0.015786346986830197,,0.01578634698680306,,0.015786229203449936,,0.015786708515507456,,0.01575589608458911,
16,0.007183537059050056,,0.0071835370590495945,,0.0071835370590353845,,0.007183480159986481,,0.007183846818647168,,0.00717085827061207,
17,0.0037270546020495058,,0.0037270546020494594,,0.0037270546020412966,,0.0037270247568893635,,0.003727397332568096,,0.0037220297883355084,
18,0.0018200189369934174,,0.0018200189369933385,,0.0018200189369881113,,0.0018200060864832102,,0.001820192992675459,,0.0018177099597737273,
19,0.0007633316958148473,,0.0007633316958148089,,0.0007633316958131733,,0.0007633277769254301,,0.0007633792833115655,,0.000762318957521196,
20,0.00034640371586015914,,0.00034640371586013415,,0.00034640371585946097,,0.0003464041574504503,,0.00034641571144117863,,0.0003457996876311834,
21,8.661598824325369e-5,,8.661598824324488e-5,,8.661598824308111e-5,,8.662743814436646e-5,,8.66217659158796e-5,,8.644391989080537e-5,8.644391989080537e-5
22,3.075397920518924e-5,,3.07539792051863e-5,,3.075397920510566e-5,,3.078778349221711e-5,,3.076826913111888e-5,,0.0003563209585730787,
23,1.0346341174071715e-5,,1.034634117407181e-5,,1.034634117404922e-5,,1.0446992380672361e-5,1.0446992380672361e-5,1.038882515609441e-5,1.038882515609441e-5,0.00031648048655198816,
24,3.940335270538235e-6,,3.94033527053806e-6,,3.940335270529803e-6,,6.5818306070539e-6,,6.079569428714442e-6,,0.00025530896922810054,
25,8.498254056466165e-7,,8.49825405646554e-7,,8.4982540564553e-7,,3.823340600358629e-6,,3.237096569481539e-6,,0.00019484131662113476,
26,1.2174178851798498e-7,,1.2174178851799435e-7,,1.2174178851766493e-7,,1.7750141678541777e-6,,1.5499377932719227e-6,,0.00014311824655679226,
27,5.035706645779681e-8,,5.0357066457795255e-8,,5.035706645759099e-8,,1.3477893728006177e-6,,8.38377576059748e-7,,0.00011876480651975035,
28,1.2925250135299858e-8,1.2925250135299858e-8,1.2925250135296098e-8,1.2925250135296098e-8,1.2925250135230031e-8,1.2925250135230031e-8,1.0681981158451846e-6,,6.229557086304053e-7,,0.00010824387511572766,
29,7.347579887270484e-9,,7.347579877954469e-9,,7.347630582899946e-9,,1.0199788973219316e-6,,5.753750800332486e-7,,0.00010736824075179248,
30,3.3651066924076268e-9,,3.3651062036917247e-9,,3.3650058797855567e-9,,9.716506589138644e-7,,5.339316547260648e-7,,9.436796029110706e-5,
31,2.5627095228945974e-9,,2.56270915400677e-9,,2.5626507378203018e-9,,8.066511162738382e-7,,4.888357395687264e-7,,7.961950897182741e-5,
32,2.3057677564974236e-9,,2.3057673774188064e-9,,2.305696807290478e-9,,6.751757328946187e-7,,4.2111769606397117e-7,,7.769978459663438e-5,
33,2.2080649499008957e-9,,2.2080645064429653e-9,,2.2079964270870287e-9,,6.431536346909178e-7,,4.11011574130492e-7,,7.167562657730628e-5,
34,2.1457030614449734e-9,,2.145702347993016e-9,,2.145642104113196e-9,,5.886136091641787e-7,,3.4676520820153535e-7,,6.128739474513877e-5,
35,2.0713366085788177e-9,,2.0713361687433643e-9,,2.0712951462912383e-9,,4.837573035250876e-7,,2.4676894127702165e-7,,4.5327163229163694e-5,
36,2.036131379437216e-9,,2.0361308408021374e-9,,2.036084618253093e-9,,3.822338974929586e-7,,1.8418019183833805e-7,,2.4580906041629277e-5,
37,2.001406146923231e-9,,2.0014056508945796e-9,,2.001375851090072e-9,,2.6561689371093024e-7,,9.582230727889939e-8,,1.125804305737982e-5,
38,1.9730280201580383e-9,,1.9730275727995108e-9,,1.9729973585564775e-9,,2.0693681501419938e-7,,4.488592675579662e-8,,5.202881017507615e-6,
39,1.6507047816544935e-9,,1.6507043823342271e-9,,1.6506342944307092e-9,,9.100648567191733e-8,,3.193027095270445e-8,,1.7558340607493405e-6,
40,1.3781066775566516e-9,,1.3781064517187482e-9,,1.378063143954774e-9,,4.03553868275212e-8,,1.848972795403101e-8,,5.862086872895691e-7,
41,1.1467219811359848e-9,,1.14672190640517e-9,,1.1466897197608593e-9,,1.55382075609371e-8,,1.0852812672381264e-8,,1.9111333670995543e-7,
42,4.4925511362250213e-10,,4.492550870302449e-10,,4.492518410474586e-10,,7.808309642797215e-9,,7.758624781505515e-9,,6.512569769476558e-8,6.512569769476558e-8
43,2.654744854676281e-10,,2.654746004355014e-10,,2.6546950688614786e-10,,2.773428344333463e-9,,3.002966785738582e-9,,4.763023757751228e-7,
44,1.0934588559942731e-10,,1.0934590445727803e-10,,1.0934625475835027e-10,,1.4794121380650978e-9,,1.5589224077667846e-9,,3.2474460302831954e-7,
45,7.118045066994438e-11,,7.118046209669214e-11,,7.117941560041948e-11,,4.813774182546366e-10,,4.5103154454186374e-10,,2.521557864572724e-7,
46,4.1228690481501953e-11,,4.122869100422572e-11,,4.122763853059057e-11,,1.6125445046428467e-10,,1.2896152343630018e-10,,2.2190270768027812e-7,
47,1.5365078805585654e-11,,1.536507837737654e-11,,1.536501942505684e-11,,3.930480609589686e-11,3.930480609589686e-11,4.026278598398698e-11,4.026278598398698e-11,1.888459202505129e-7,
48,7.197179854177106e-12,,7.197177686776643e-12,,7.197321498866098e-12,,2.9369586738943536e-11,,1.5409388089029948e-10,,1.8815947116896203e-7,
49,2.2822516505897988e-12,,2.2822522165752603e-12,,2.2822679129036287e-12,,2.4881869775671315e-11,,1.1274817481710204e-10,,1.6078918384525606e-7,
50,7.18522760136118e-13,,7.185228109387741e-13,,7.185250243901799e-13,,2.2333912095813075e-11,,7.370694285746994e-11,,1.4323623231299937e-7,
51,1.9453962407847777e-13,,1.9453963009346629e-13,,1.9455368393052433e-13,,2.15316317245226e-11,,2.8941332258401516e-11,,1.4000957389642437e-7,
52,6.855268041909927e-14,,6.855267140201744e-14,,6.855562318677789e-14,,2.149371768890342e-11,,1.5792852353524935e-11,,1.3962243476728595e-7,
53,1.9374358224710558e-14,,1.937435874097904e-14,,1.9374396427976918e-14,,2.0640142141204387e-11,,1.2280076207898595e-11,,1.2349513076947025e-7,
54,7.451999005782984e-15,,7.452000940125584e-15,,7.452252068619131e-15,,2.0636625735510637e-11,,6.6468950421408635e-12,,9.209648888538508e-8,
55,2.7871252690593876e-15,,2.787126940718331e-15,,2.787166452735408e-15,,2.0532167518120076e-11,,3.482810552420412e-12,,6.138137276573521e-8,
56,5.677793196398351e-16,,5.677791412826997e-16,,5.678638397964885e-16,,2.0513459950611585e-11,,2.3254176465886287e-12,,3.679870406309565e-8,
57,1.3568242107378465e-16,,1.356824069721988e-16,,1.3568619121135488e-16,,1.5528258346995827e-11,,1.5540229017492482e-12,,2.1945297383122367e-8,
58,2.933816049263997e-17,2.933816049263997e-17,2.933815875638492e-17,2.933815875638492e-17,2.933952380697257e-17,2.933952380697257e-17,8.87894486297594e-12,,1.3456138274838129e-12,,1.2407321083528766e-8,
59,,,,,,,4.4794332851574705e-12,,9.771779846176852e-13,,5.574485416246599e-9,
60,,,,,,,1.782144954216446e-12,,5.907340152812449e-13,,1.5980353900336757e-9,
61,,,,,,,1.2237674768758797e-12,,1.311888868503203e-13,,6.048353610396536e-10,
62,,,,,,,5.138059732008916e-13,,5.732658893698469e-14,,2.973320812131967e-10,
63,,,,,,,1.927523452408316e-13,,3.4502382580008666e-14,,8.562065940699935e-11,8.562065940699935e-11
64,,,,,,,8.359317215334051e-14,,3.0555801332593e-14,,6.8508407824993e-10,
65,,,,,,,3.76200893758429e-14,,3.044732634401756e-14,,6.204894431689179e-10,
66,,,,,,,1.2952649925983248e-14,,2.989578401407126e-14,,6.20286793504827e-10,
67,,,,,,,2.7203802303890396e-15,,2.845338894497288e-14,,5.876529288684547e-10,
68,,,,,,,9.782298595550934e-16,,1.5282463245664855e-14,,4.734159029347615e-10,
69,,,,,,,4.71199568624864e-16,,3.942994238499123e-15,,3.8414757821041355e-10,
70,,,,,,,2.72792834444684e-16,2.72792834444684e-16,8.467119551632977e-16,8.467119551632977e-16,3.7179198774829706e-10,
71,,,,,,,4.1330454825183528e-16,,7.303956010628857e-16,,3.5323694619498316e-10,
72,,,,,,,3.0219173850409975e-16,,5.303840565123368e-16,,2.9808478532877336e-10,
73,,,,,,,1.8999785348535718e-16,,3.883755050741877e-16,,2.4359178239098893e-10,
74,,,,,,,1.403737636971089e-16,,3.4295393488536304e-16,,2.141754593771744e-10,
75,,,,,,,1.117742118885974e-16,,3.427262314840604e-16,,1.6450030464271794e-10,
76,,,,,,,8.581341268592855e-17,,3.280502506461697e-16,,1.0800100581431759e-10,
77,,,,,,,6.565867723968844e-17,,3.1868001932144135e-16,,7.012384071665286e-11,
78,,,,,,,4.95732963715699e-17,,3.001456688830308e-16,,3.6425771589233216e-11,
79,,,,,,,4.942775324409129e-17,,2.728231197467812e-16,,1.4358412534158027e-11,
80,,,,,,,4.940763270367536e-17,,2.423559850450959e-16,,8.221712201102052e-12,
81,,,,,,,4.927374376237261e-17,,2.3030703858479555e-16,,1.3364182687247682e-12,
82,,,,,,,4.863733573069111e-17,,1.854494818068836e-16,,5.264367958354481e-13,
83,,,,,,,4.409223137467959e-17,,1.1251154636066323e-16,,2.201310364279744e-13,
84,,,,,,,2.7518980375048187e-17,,4.636065749751236e-17,,8.255550149708338e-14,8.255550149708338e-14
85,,,,,,,1.0440326168257136e-17,,1.9626461656394512e-17,,3.114784576496788e-12,
86,,,,,,,4.747319495341796e-18,,8.93214909533198e-18,,3.0463953839080782e-12,
87,,,,,,,2.561272868607378e-18,,3.641504120248881e-18,,2.9913564798880795e-12,
88,,,,,,,1.3914499398294276e-18,,2.2660012683514576e-18,,1.961046766557969e-12,
89,,,,,,,6.035303511442443e-19,,8.157997844251087e-19,,1.8937843914406664e-12,
90,,,,,,,1.3360373011139443e-19,,3.214099948606798e-19,,1.6689349417107884e-12,
91,,,,,,,3.7904396730485495e-20,,1.2629060157291926e-19,,1.426825145057373e-12,
92,,,,,,,1.4425151265745505e-20,,4.072343225684506e-20,,1.4001907902755667e-12,
93,,,,,,,4.7518628989518005e-21,4.7518628989518005e-21,1.6633669942589724e-20,1.6633669942589724e-20,1.3710801862353963e-12,
94,,,,,,,,,,,1.188857271455601e-12,
95,,,,,,,,,,,9.091672389639265e-13,
96,,,,,,,,,,,7.859468004468492e-13,
97,,,,,,,,,,,4.757863578686821e-13,
98,,,,,,,,,,,2.578530594360426e-13,
99,,,,,,,,,,,1.2301467156647637e-13,
100,,,,,,,,,,,5.718519779794143e-14,
101,,,,,,,,,,,1.9072988040344946e-14,
102,,,,,,,,,,,7.991549319443236e-15,
103,,,,,,,,,,,1.935919872710859e-15,
104,,,,,,,,,,,9.656492828351487e-16,
105,,,,,,,,,,,2.3962329285166723e-16,2.3962329285166723e-16
106,,,,,,,,,,,2.9610557856990515e-15,
107,,,,,,,,,,,1.94638071193921e-15,
108,,,,,,,,,,,1.3652617910752846e-15,
109,,,,,,,,,,,8.167548886372843e-16,
110,,,,,,,,,,,3.6495934594387354e-16,
111,,,,,,,,,,,2.2761534730479946e-16,
112,,,,,,,,,,,1.67362589270723e-16,
113,,,,,,,,,,,1.22854568668073e-16,
114,,,,,,,,,,,8.055864675559234e-17,
115,,,,,,,,,,,6.578670108463585e-17,
116,,,,,,,,,,,4.7052734755813397e-17,
117,,,,,,,,,,,4.1883765836498424e-17,
118,,,,,,,,,,,3.806759495307284e-17,
119,,,,,,,,,,,3.7838087340471317e-17,
120,,,,,,,,,,,3.7824172321958196e-17,
121,,,,,,,,,,,3.451125863753903e-17,
122,,,,,,,,,,,2.7416134056881976e-17,
123,,,,,,,,,,,1.2772541535711706e-17,
124,,,,,,,,,,,3.6159593374901226e-18,
125,,,,,,,,,,,1.7897227340618183e-18,
126,,,,,,,,,,,5.488064748746013e-19,5.488064748746013e-19
