kbef,kaft
8.57264558705074e6,2.439792081066448e6
794131.107850155,110798.0959224493
423125.6373635211,31065.328495263668
53536.751136831524,8124.204644021333
2.0218008918798082e9,2740.364187374711
247.21890046892494,87.35682250974173
3.942116438202396e17,5.811048549627943e16
8.011439935995421e17,4.704401808352248e16
6.0002171334896075e19,1.0066040707766675e17
42197.315859882605,35591.587191551145
47889.94132686616,12423.70921889105
3.942116438202396e17,5.811048549627943e16
8.011439935995421e17,4.704401808352248e16
6.0002171334896075e19,1.0066040707766675e17
3.2278857640798615e11,15501.463156137752
6248.293075724129,2138.0028754176274
1.6481352172987184e13,4.724394772699696e9
1.7623055924532544e17,6.500332820593523e16
3101.2414510695803,1041.7093057556249
50013.15077042754,10964.864540239507
12047.10026377698,7329.612761525688
2.5348880030146894e14,1.7869100176920898e6
2.598766810383439e7,73623.60809324459
9518.56605874567,13959.230694429485
524225.03310972475,17621.96743151652
2.2118529808811128e8,5.966325037567019e6
28482.046063907463,489.11763451820093
10000.0,1.0
125879.18333084618,169615.07282408865
118248.17518245986,1.0
633195.5390960715,3196.3668899924555
233734.42072490475,1.0
261566.58536027584,1.0
6.917543494090491e9,1.0682622580825834e10
1.1334191280161531e6,19057.611163507645
1740.6146395862681,1339.433138332306
18.07241738016247,5.395218587529645
7.133121119795202e6,1812.3690795348903
2.4275906876368023e7,53902.78394693226
1.6358771426711866e8,1.463218204817833e6
9.076524702461515e6,45416.79333082313
3.383008055543753e6,16820.802586241778
6.404984670595192e6,6710.505422785031
3.5331868601076393e6,55152.3041501849
1.4979402533095062e6,65612.79368249771
1.9796996204875025e6,25970.65209563453
237868.80974081377,197622.71182027698
2.4228204483975816e8,1011.959652967216
688782.1943334071,1010.0349376995503
1.049888878545691e12,16779.107709547585
11.413530553092572,4.8435359342440085
577064.8019227644,362.608524659749
672940.4279029917,177.93266449578562
1.284470559034931e6,413.9524134800189
3.284487462690323e6,429.427047893533
8.0364735432796115e6,896.5330802926944
2.9550663084008754e6,660.1827729686263
3.0128673874796447e6,377.7156050169748
2.2381558750921115e7,1171.9638826211049
2406.4223101684565,2406.422310168466
54.78707813383254,54.78707813383274
4407.920255850686,4407.92025585086
68.21841903296114,68.21841903296115
16495.07800718687,16495.078007183965
177.0822250710407,177.08222507103935
2.3149112479774976e12,5.0409553157418945e10
195177.15170763023,1148.2476525265595
5.896250306620698e6,6.7051886044742735e6
278694.81565882894,44331.155901553924
150577.62491713325,147443.66947277208
6.828094359228051e10,4735.4315297860285
17914.666372518528,32.739602617103856
86120.76036506004,51.657492331045496
4321.047704660807,31.133718537855348
10777.158673221007,5891.018934592759
28350.234955360338,14338.782207904394
52636.16434281713,51697.51520934926
14278.023572507034,7695.5602365061395
257934.16959562205,57201.36394457355
2093.209801814607,1924.5653799320942
2093.209801814607,1924.5653799320942
11490.355664557015,5991.663369564819
3.732772867280143,1.8313204079047185
11490.355664557015,5991.663369564819
3.732772867280143,1.8313204079047185
536868.7441510828,1688.5579430939067
4.021062246015162e10,60638.11832608372
6350.448113746353,3439.511569510767
371440.8800933767,3277.2527096042313
5.1058935354046196e7,1310.962920992916
5.127242376176362e17,9.538417184934438e16
1.0277407444862886e6,67.92057078835705
3.21837375883853e12,2.1247574432348493e7
3.374138898518392e12,1.0158169175203172e7
2.2161982352933e23,8.728627894429697e7
4.206078802043506e14,3.2216769652328095e6
1.5060877382300876e16,1.7495954713653615e9
4467.844764891857,39.08940182170355
4.410843323915974e10,4070.4022652658086
2.826111849303859e11,47970.42456344054
1.1723626858918396e10,6857.940561238598
15405.215572134268,6771.67072379142
146782.15312843642,60110.58281795443
3.5869530333679994e6,1.3078482924082915e6
5486.534974290861,693.5480869372905
1.499260048808625e16,9.972091678170901e10
1.3602316103956945e9,1.2115633869080616e6
7.813510614820367e27,1.5136727503256558e6
832798.5864689931,833745.3683866533
974688.7613532655,975620.0925409691
3.3285650617678595e15,579266.6966507203
3.787043262000912e7,26998.248854869973
2.0823202895333508e13,980.6786302736032
4.241822205041438e13,45.08619233856327
1.3827480693378413e12,336544.8198593078
603.2614676955501,439.2255703358681
32119.03235249291,6692.341651339808
417817.0320089446,1467.7511051099664
5.891804180626553e6,253843.1078884106
1724.3360884071503,1202.1234623226019
5.9596672812288795e6,354808.440264675
3.724007925003756e14,5.23092811444829e12
2.0440852679466793e10,3.9007096909590425e9
5.099580278849266e9,1.252795087450475e9
37723.59376300516,34500.63854722805
7.650486568908775e6,4.944781184719123e6
2.3745102542587404e9,5.963388761930307e8
1.487221881492127e6,208332.90329128955
9579.952957890055,8512.007013382632
1.8107522751820814e6,301675.5868582871
4.260287606786965e6,370152.4470264049
1.1613214580603147e8,9.929800928919204e6
77142.8050023827,7928.649364201199
63266.998711929424,7859.325846892347
6745.268616744734,6081.5706061890105
8114.563556859086,2343.149787331221
30660.145491539028,10943.120513347012
1.2833222112720187e6,8090.858685590651
8.743768676482181e16,8.494035459858851e8
3.1321283649962964e6,4878.207657382402
1748.8745224041718,1199.3536582445722
470.24851747806935,394.43187310411867
730.9091663848911,537.7349161776746
2777.7327119265633,1884.8726611236636
322.8465181111134,305.1399593530534
377.88791581938574,368.4206303878251
2.5343502734692197e7,29723.89989024779
1.354094113894235e20,1.2032494325996258e6
1.625169977841855e20,4.648050624039875e12
6.863766518811081e12,3.890962619570698e7
37432.83731446925,17874.117180204237
3.850886570385271e6,17663.27649330962
3.93906077126793e6,18643.03662215973
4.801851454249199e11,1.759640223808831e8
2.894090807095452e11,1.4303434469764012e8
1.2442038668807998e12,6.3396583245675e8
4.039929133308348e11,1.7521036603038016e8
4.519134864072785e11,1.7645754274015117e8
3.9198292982850635e11,1.672175317363494e8
1.0246384734941808e12,5.647849532609811e8
3.6799199336158093e11,1.7680118553542155e8
3.7831252454495407e6,2.561181301761537
1.8310835384870977e6,5.146024207804442
5.991449610175613e6,5.146024207804441
1.3277800416916376e6,1.326148080024382e6
7641.901988870323,2195.6145886578897
5.627587163735046e6,4.25760615069054e6
23055.427128421972,3269.7178188432877
4.359639157246184e9,2083.7642977184587
1.3628131955712903e11,30183.28252462534
3.263798186606725e11,3.7331769165626667e6
9.860427211980087e11,1.0607739761195365e7
1.5930096569165928e12,1.2291454005906308e7
1.3036281936895159e12,1.0598576281985566e7
14342.957713052769,6147.995162627959
9298.29695331645,2484.4257173849883
26442.33441719785,194.10523433469342
58107.51868916705,305.8594771272577
2.2358887731311647e6,156797.92693593728
172.26939223689243,152.34320308033668
7.664042012682183e11,1.50608265170451e7
2.2118529806045467e8,5.966325037606187e6
1.0954810106392097e10,2.7926145536174034e6
1.1923239495149338e10,8385.710461782117
1.3400887798818747e11,1.1548115475073905e9
1.659337508530228e8,930264.5549340849
24135.88295696874,3103.614383560439
8.266217206972408e6,1.0
1885.7331887317778,2081.14750432031
137679.34786257916,150790.00143768598
2.7106358117575474e9,29519.84682546064
5.763480314193797e8,21259.82690665447
32750.819897039706,937.3700689584099
1.6955746898474484e13,3572.9390048694095
751.5151893083249,5.834747804199094
2386.5826947067035,1264.7274088330055
2.5427225771938945e20,1.4221130843162357e17
133.3091985267793,80.53705614583626
1.8124551733085152e13,1.816862678823964e7
9.78511779770566e19,2.601531865945806e12
4.338110234259569e19,3.8314488292875424e17
3.1879891228675645e7,2.2821689770748455e7
158.31833907959788,167.13881761524587
2.8615861029837538e7,196693.44139886642
1.23103644622299e7,130317.68387693472
3.3292575674587535e15,579266.6966467422
1.7245638893558982e21,1.052085708471462e13
3.305875111732622e6,24071.461875680146
1.8959851972406735e6,256530.6302943841
151.77417450688645,120.33396610371028
5.266878496109135e8,5.1012535175320196e8
3.88074243143176e6,753153.308649329
1.0942919031052282e8,171835.5384493139
560797.3630337563,159852.2166307495
1.0556859424912536e18,3.663789123513222e11
8.639976274543362e16,8.692193960725096e8
6879.187091799117,5827.827363276546
1.6395332782484165e8,404.3406400872663
691357.6537696363,8079.142176520575
1.0910587739821682e10,1.3907341324085608e8
1.453282933300279e21,8.872909069408248e11
7.295502039670548e19,2.286843768573699e12
5.089530153547681e20,2.667041831974591e13
15595.271183293296,9277.241705154145
9.643327854458318e11,2606.5067456892734
2178.630793437869,1201.8043771240948
1.3788625691394504e7,8766.56825606602
1.0054830966322284e7,26264.627853358703
4.039448797631633e12,1.766494348725513e9
3.3703573937752275e14,1.4766556937201364e9
5.002599105176945e14,3.045941814845269e11
390840.7238419157,557172.0822279113
20323.008941377866,2408.5638908779642
